 user_id,movie_id, rate
1718816,30,4
890144,30,5
2517152,30,5
264160,30,4
1630080,30,5
1852416,30,5
1408352,30,3
73664,30,3
676736,30,4
1504000,30,4
924064,30,3
1760640,30,3
1704384,30,3
1313632,30,3
1488256,30,3
72192,30,2
1937376,30,4
644960,30,3
386752,30,5
349248,30,5
1280640,30,2
129888,30,3
1945344,30,4
1770240,30,3
1943456,30,4
827136,30,4
2275232,30,5
2649120,30,1
2379360,30,4
220512,30,4
904768,30,4
415808,30,5
2593184,30,5
1272320,30,5
1661120,30,4
1860768,30,4
119936,30,4
583264,30,4
517888,30,4
2338304,30,3
2260832,30,3
2620000,30,5
1234944,30,5
959968,30,3
1302464,30,4
1356608,30,3
1736256,30,5
1271040,30,3
2377088,30,1
481312,30,4
560960,30,5
236288,30,5
844352,30,4
2068896,30,3
1194048,30,1
724256,30,3
1321184,30,4
756544,30,4
2004864,30,2
636256,30,3
497824,30,2
696288,30,5
2156352,30,5
231712,30,2
2042528,30,3
346816,30,4
392096,30,4
211008,30,3
1672832,30,3
500480,30,3
1532096,30,3
1237344,30,3
2504928,30,3
1555872,30,3
1560960,30,4
850880,30,3
2284448,30,4
1861440,30,2
621728,30,4
888032,30,2
1709888,30,4
1702272,30,4
238432,30,5
585664,30,4
1937120,30,2
1689344,30,4
677536,30,5
1031680,30,4
1986816,30,4
1033856,30,3
32928,30,4
1454400,30,4
1338656,30,3
486048,30,4
2032928,30,4
1042112,30,4
447168,30,5
273344,30,4
2286304,30,5
274720,30,5
2222976,30,5
2015040,30,3
2504608,30,5
13856,30,3
511936,30,3
1051136,30,4
1487232,30,5
1897824,30,3
2356448,30,4
1158880,30,5
686752,40,3
478176,80,4
1511008,80,4
592416,100,2
523744,110,1
1806112,150,4
1117152,150,3
2566592,170,4
1668640,180,3
904768,240,4
1989248,240,5
427072,240,3
305344,240,1
1307968,240,4
1279360,240,4
2524736,240,3
844736,270,5
1846592,270,4
463712,270,5
72192,270,4
667136,270,5
478176,270,3
2105216,270,5
1903712,270,5
2631744,270,5
2298976,270,5
966080,270,5
2181504,270,4
485536,270,5
1707072,270,5
1767072,270,5
165664,270,1
1446944,270,5
1773760,270,5
1999872,270,5
802944,270,4
2248064,270,5
873472,270,5
194528,270,5
2107936,270,5
2212512,270,5
736352,270,5
2326560,270,5
804064,270,5
1616736,270,5
212064,270,4
1335584,270,5
1089664,270,1
1449760,270,5
2094720,270,4
537632,270,5
722112,270,5
925472,270,4
13856,270,5
1897824,270,5
2453056,270,5
141920,270,1
1260480,290,5
522720,290,5
528384,290,3
759968,290,3
796192,290,5
1284640,290,3
1288928,290,4
2207520,290,3
671808,290,5
699744,290,4
1410528,290,5
732960,290,3
711552,290,4
1796384,290,5
1969536,290,4
1260992,290,5
1991264,290,4
545568,290,5
395520,290,4
1898880,290,3
596544,290,5
2369280,290,5
1635968,290,4
2527840,290,4
2348512,290,5
2193920,290,2
2523584,290,5
2376512,290,4
340960,290,3
823520,290,5
519040,290,4
523744,290,4
1230080,290,4
2033888,290,3
2136800,290,4
416672,290,4
609280,290,3
1973248,310,2
724000,330,5
1062016,330,3
1306112,330,4
1847040,330,4
1688256,330,5
1727232,330,3
1860768,330,3
302304,330,4
2075584,330,4
1443328,330,4
1218848,330,5
654304,330,3
1892864,330,2
789408,330,3
913920,330,4
1089888,330,3
801632,330,4
1218400,330,2
1269376,330,3
2022496,330,4
2523488,330,3
2021728,330,4
262880,330,5
274560,330,5
336768,330,3
103232,330,3
336960,330,3
229472,330,5
1563360,330,2
902400,330,4
305344,340,1
2321824,350,5
1809696,350,5
2592256,360,1
564320,360,2
2318944,360,1
691808,370,2
1032896,380,5
2647520,390,2
1740800,390,3
650528,390,3
2275040,390,2
1661344,390,4
558720,390,2
1580032,390,1
335840,390,2
1835584,390,3
1924992,400,4
900992,400,4
1123424,400,5
392768,400,5
2077664,400,3
822400,420,4
541376,420,3
787136,420,4
302304,420,4
1991264,420,5
2629184,420,4
735296,420,3
741248,430,5
1485312,460,3
449856,480,2
2432992,490,5
1279360,530,2
1070432,550,3
728288,550,4
2495584,550,4
787968,550,4
1711744,550,4
985344,550,3
1352800,550,4
1426080,550,3
295296,550,3
2151360,550,3
205696,550,5
654304,550,2
57344,550,2
1793408,550,1
513120,550,3
2435040,550,3
1777696,550,4
1569728,550,3
472736,550,4
888032,550,3
2017088,550,4
1580032,550,1
1488032,550,3
747168,550,3
584416,550,3
1415232,550,2
2325440,550,1
1462208,550,4
286912,550,3
2637760,550,5
206272,560,5
479648,580,3
1622272,580,2
1529376,580,3
2138016,580,3
1712704,580,1
873472,580,4
1845472,580,1
2013504,580,3
264960,580,4
2065920,600,2
1279360,640,4
1242336,650,1
1367456,650,1
365984,660,4
2179904,660,4
646560,660,5
2309760,660,5
122752,660,4
89248,660,4
1836576,660,2
1035584,660,3
566720,660,4
419616,660,4
561184,660,4
1679040,660,4
2248000,660,5
2021728,660,4
134784,660,4
1909056,660,4
1667296,660,4
2412160,670,4
296608,670,4
2551744,670,5
1841056,670,3
2136800,670,4
916384,670,4
2602560,680,5
1177952,680,4
1407104,700,3
1406528,700,4
2644448,700,4
2327264,700,3
635808,700,4
1704416,700,2
2065920,720,4
568832,720,4
1099072,720,4
1450048,720,4
156416,720,5
1471520,720,4
2319520,720,5
